EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;FONCTION;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6475;0,00;0,00;3901,96;0,00;0,00;0,00;0,00;0,00;3901,96;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6488;0,00;0,00;1432,16;0,00;0,00;0,00;0,00;0,00;1432,16;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;651123;0,00;0,00;60148,15;0,00;0,00;0,00;0,00;0,00;60148,15;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;65888;0,00;0,00;2555,31;0,00;0,00;0,00;0,00;0,00;2555,31;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6811;0,00;0,00;18788,58;0,00;0,00;0,00;18788,58;0,00;18788,58;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;74718;0,00;0,00;0,00;1065922,02;0,00;0,00;0,00;0,00;0,00;1065922,02
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;7473;0,00;0,00;0,00;360000,00;0,00;0,00;0,00;0,00;0,00;360000,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;7478211;0,00;0,00;0,00;27686,00;0,00;0,00;0,00;0,00;0,00;27686,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;7478218;0,00;0,00;0,00;10046,00;0,00;0,00;0,00;0,00;0,00;10046,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;7588;0,00;0,00;0,00;3962,13;0,00;0,00;0,00;0,00;0,00;3962,13
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;7788;0,00;0,00;0,00;1000,00;0,00;0,00;0,00;0,00;0,00;1000,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;1068;0,00;204906,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;204906,97
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;110;0,00;704722,69;0,00;0,00;410603,44;205301,72;0,00;0,00;0,00;499420,97
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;12;205301,72;0,00;0,00;0,00;205301,72;410603,44;0,00;0,00;0,00;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;1323;0,00;469232,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;469232,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;192;0,00;3500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3500,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2051;260940,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;260940,34;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;208;156160,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;156160,25;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2153;8563,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8563,87;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;216;782,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;782,30;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2181;219592,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;219592,38;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2182;170782,96;0,00;0,00;0,00;0,00;26284,00;0,00;0,00;144498,96;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;21838;670521,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;670521,17;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;21848;160873,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160873,55;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2185;53417,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53417,30;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2188;49112,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49112,36;0,00
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;28051;0,00;260940,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;260940,34
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;2808;0,00;112670,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;112670,47
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;28153;0,00;8563,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8563,87
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;28181;0,00;119632,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;119632,48
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;28182;0,00;106848,51;0,00;0,00;26284,00;0,00;0,00;0,00;0,00;80564,51
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;281838;0,00;515529,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;515529,45
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;281848;0,00;142917,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;142917,60
2018;13000009400016;104;GIPMDPH REUNION;997;1;421;90;M52;130000094;104;06;;;;SYND;DEF;;28185;0,00;52993,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52993,97
